visitorid,itemid,score
14,175,4.6035
14,434,4.6035
15,1450,4.6691
15,1242,4.3727
15,936,4.2778
15,900,4.1615
15,318,4.1373
15,126,4.1367
15,57,4.0667
15,735,4.0639
15,64,4.0548
15,1167,4.0529
16,64,5.4244
16,174,5.2679
16,318,5.1872
16,520,5.1677
16,50,5.1612
16,98,5.1007
16,144,5.0488
16,1467,5.0483
16,169,5.0307
16,223,5.0268
17,902,4.0674
17,114,4.0612
17,1449,3.9164
17,116,3.8915
17,652,3.8898
17,1642,3.8592
17,1007,3.8431
17,745,3.8317
17,1558,3.8282
17,408,3.8067
18,1449,4.7056
18,114,4.668
18,318,4.6233
18,1642,4.6146
18,1398,4.582
18,408,4.5685
18,113,4.5616
18,483,4.5576
18,923,4.5543
18,64,4.5531
19,1099,4.7147
19,1194,4.6937
19,1203,4.6834
19,613,4.5761
19,512,4.5313
19,593,4.5296
19,497,4.517
19,483,4.5087
19,434,4.4941
19,604,4.4576
20,1063,4.029
20,1192,3.8921
20,496,3.8542
20,613,3.8373
20,148,3.8298
20,1167,3.7846
20,500,3.7613
20,121,3.7375
20,313,3.7349
20,155,3.6985
21,23,4.3612
21,192,4.3547
21,1449,4.3281
21,1367,4.3187
21,98,4.3175
21,185,4.3138
21,169,4.2965
21,100,4.2704
21,1467,4.268
21,675,4.2664
22,50,4.9397
22,408,4.8006
22,172,4.7945
22,919,4.7723
22,1589,4.6992
22,519,4.6719
22,253,4.6687
22,1143,4.6642
22,1167,4.6575
22,181,4.6432
23,1589,4.641
23,408,4.6244
23,169,4.6143
23,1449,4.4939
23,114,4.4706
23,1129,4.4101
23,919,4.4058
23,647,4.3798
23,512,4.373
23,513,4.3511
24,64,5.1922
24,127,5.0624
24,1449,5.0585
24,180,5.0461
24,1589,5.0197
24,318,5.0172
24,1642,4.9481
24,483,4.9321
24,272,4.8984
24,1398,4.8642
25,1589,4.8569
25,169,4.8131
25,64,4.5674
25,408,4.567
25,114,4.5491
25,1449,4.5339
25,50,4.515
25,1269,4.4906
25,12,4.4677
25,189,4.464
26,318,4.0361
26,64,4.0128
26,313,3.8873
26,357,3.8704
26,302,3.8652
26,483,3.8291
26,98,3.8281
26,427,3.8211
26,191,3.8119
26,1449,3.796
27,169,4.2834
27,64,4.1895
27,1467,4.1815
27,114,4.0366
27,318,4.03
27,735,4.004
27,1449,3.9664
27,313,3.9663
27,963,3.9655
27,302,3.9592
28,50,4.564
28,302,4.5485
28,174,4.4034
28,1449,4.3893
28,64,4.3754
28,12,4.3712
28,408,4.3662
28,176,4.3583
28,98,4.3405
28,172,4.3309
29,1642,4.7289
29,114,4.6693
29,318,4.6557
29,1398,4.6465
29,1449,4.5895
29,272,4.4713
29,603,4.4682
29,1589,4.4615
29,923,4.4594
29,1639,4.4527
30,483,4.8882
30,318,4.8808
30,189,4.8516
30,603,4.7841
30,1398,4.7639
30,1449,4.7477
30,64,4.7466
30,169,4.7313
30,496,4.7
30,657,4.6964
31,512,4.7443
31,1022,4.7417
31,647,4.7405
31,262,4.7226
31,60,4.6621
31,1375,4.6547
31,654,4.6474
31,626,4.6354
31,1589,4.5992
31,1268,4.5721
32,1449,4.249
32,1589,4.2069
32,272,4.1102
32,1169,4.0624
32,315,4.0565
32,12,4.0526
32,316,4.0384
32,603,3.968
32,114,3.9639
32,64,3.9492
33,313,4.6989
33,1019,4.3508
33,64,4.349
33,1169,4.3344
33,318,4.3144
33,915,4.2818
33,22,4.2801
33,98,4.2491
33,223,4.2471
33,1449,4.2282
34,1512,5.7991
34,1449,5.6097
34,1405,5.4355
34,1639,5.4342
34,718,5.3997
34,127,5.3891
34,1131,5.3067
34,1266,5.2658
34,311,5.2356
34,251,5.2238
35,392,3.9388
35,1469,3.8434
35,64,3.8416
35,313,3.7935
35,169,3.666
35,22,3.648
35,937,3.6441
35,742,3.6082
35,223,3.606
35,318,3.5981
36,882,5.0537
36,50,5.0005
36,432,4.9755
36,344,4.9672
36,181,4.9545
36,1218,4.8894
36,1169,4.8851
36,1038,4.8692
36,989,4.8537
36,133,4.8502
37,114,4.4376
37,56,4.3842
37,173,4.3689
37,408,4.3609
37,201,4.3608
37,166,4.3568
37,1642,4.3477
37,1589,4.3405
37,313,4.3388
37,1612,4.3124
38,143,5.6214
38,1664,5.1045
38,1120,5.0823
38,817,5.0662
38,538,5.0516
38,1164,5.0471
38,613,5.0407
38,924,4.926
38,1031,4.9031
38,1409,4.8766
39,776,4.5628
39,352,4.5063
39,745,4.4241
39,497,4.403
39,954,4.3158
39,12,4.3125
39,1589,4.2875
39,96,4.2737
39,219,4.2652
39,855,4.2481
40,1589,3.9893
40,512,3.9765
40,856,3.8642
40,408,3.8398
40,189,3.7992
40,703,3.7729
40,169,3.7588
40,887,3.7575
40,1367,3.7535
40,1524,3.7061
41,408,4.511
41,474,4.5004
41,1449,4.4718
41,114,4.4529
41,168,4.4147
41,169,4.4007
41,1143,4.3491
41,483,4.3097
41,513,4.2991
41,511,4.2381
42,496,4.9168
42,174,4.664
42,318,4.6621
42,64,4.5661
42,22,4.554
42,1450,4.4876
42,520,4.4738
42,169,4.4528
42,1189,4.4518
42,113,4.4494
43,1589,4.6995
43,113,4.6153
43,1169,4.6141
43,64,4.6109
43,1159,4.5753
43,603,4.5714
43,318,4.5503
43,496,4.5359
43,478,4.5115
43,1192,4.4939
44,169,4.8362
44,50,4.5755
44,64,4.5489
44,173,4.4802
44,408,4.4614
44,1589,4.4435
44,12,4.4137
44,174,4.3745
44,195,4.3581
44,223,4.327
45,1449,4.8825
45,1589,4.8762
45,915,4.8552
45,1169,4.8311
45,199,4.8154
45,114,4.7859
45,169,4.7621
45,483,4.7527
45,514,4.7343
45,1122,4.7305
46,1449,5.3648
46,114,5.1914
46,408,5.0342
46,511,4.9357
46,262,4.9356
46,1167,4.903
46,1642,4.8935
46,318,4.8527
46,170,4.7912
46,745,4.7748
47,302,4.9034
47,1642,4.8945
47,902,4.8661
47,1449,4.8235
47,19,4.7467
47,50,4.7457
47,318,4.7284
47,1398,4.7103
47,56,4.6624
47,408,4.6614
48,205,4.6097
48,168,4.4379
48,474,4.4345
48,483,4.4267
48,199,4.3964
48,513,4.3943
48,135,4.342
48,127,4.3382
48,480,4.3228
48,50,4.3167
49,320,4.6304
49,1449,4.2175
49,179,4.175
49,853,4.1564
49,558,4.044
49,474,4.0436
49,60,4.0432
49,1103,3.9946
49,251,3.971
49,1405,3.971
50,854,5.9167
50,42,5.1808
50,853,4.9393
50,206,4.8988
50,753,4.8653
50,1589,4.8591
50,253,4.835
50,475,4.7378
50,921,4.6742
50,836,4.6626
51,50,4.5592
51,181,4.5013
51,313,4.4496
51,172,4.4456
51,22,4.4078
51,174,4.4029
51,195,4.3747
51,1612,4.3515
51,173,4.3424
51,520,4.3331
52,1449,5.2572
52,318,5.0246
52,408,4.9827
52,1398,4.9776
52,169,4.9366
52,515,4.9176
52,1589,4.9156
52,483,4.9111
52,64,4.8957
52,83,4.8866
53,64,5.0975
53,318,4.8618
53,963,4.6889
53,127,4.6715
53,483,4.6697
53,357,4.6661
53,113,4.6639
53,900,4.6524
53,408,4.6455
53,98,4.6292
54,1449,4.7396
54,272,4.572
54,752,4.541
54,1651,4.518
54,1650,4.518
54,1645,4.518
54,1636,4.518
54,1631,4.518
54,713,4.4687
54,745,4.4534
55,601,4.7492
55,127,4.5916
55,183,4.5109
55,89,4.4226
55,1142,4.4119
55,135,4.3697
55,192,4.3503
55,641,4.3198
55,205,4.3071
55,837,4.2997
56,22,4.5382
56,50,4.5292
56,174,4.5003
56,313,4.4933
56,96,4.4832
56,172,4.4064
56,181,4.3904
56,1169,4.376
56,169,4.37
56,64,4.3469
57,64,4.7194
57,1589,4.6633
57,169,4.6258
57,313,4.5363
57,318,4.4966
57,603,4.4019
57,1169,4.3915
57,487,4.3629
57,223,4.3547
57,12,4.3439
58,114,5.0059
58,56,4.9066
58,654,4.7909
58,12,4.7765
58,850,4.7303
58,246,4.7072
58,475,4.6819
58,1375,4.6527
58,1268,4.6186
58,408,4.6091
59,1449,5.0849
59,56,5.0776
59,127,5.001
59,276,4.9042
59,302,4.8856
59,963,4.8741
59,1005,4.7881
59,98,4.7834
59,119,4.7825
59,1651,4.7789
60,1449,5.0398
60,1122,4.8527
60,483,4.78
60,408,4.7264
60,1589,4.7202
60,1642,4.7119
60,1398,4.7101
60,119,4.6781
60,513,4.6673
60,114,4.6643
61,313,4.1532
61,302,4.0065
61,1063,3.9704
61,1142,3.9255
61,64,3.8638
61,100,3.8412
61,191,3.8359
61,318,3.7975
61,347,3.7894
61,22,3.7758
62,169,4.5525
62,1524,4.4095
62,408,4.4076
62,1589,4.3797
62,1065,4.3379
62,613,4.3359
62,1129,4.2956
62,512,4.2859
62,119,4.2814
62,50,4.279
63,1642,4.1457
63,1589,4.136
63,1398,4.0791
63,1405,4.0739
63,114,4.0706
63,475,4.0346
63,1449,4.0322
63,652,4.0193
63,1137,3.9779
63,320,3.9503
64,408,4.5993
64,1398,4.4386
64,318,4.4027
64,657,4.393
64,1449,4.3777
64,483,4.3723
64,474,4.3455
64,513,4.3453
64,603,4.3433
64,114,4.3304
65,1450,4.7002
65,318,4.6579
65,64,4.6336
65,496,4.5275
65,963,4.4895
65,22,4.4388
65,136,4.4026
65,174,4.3922
65,69,4.3882
65,423,4.3548
66,313,4.5963
66,64,4.4118
66,22,4.2507
66,318,4.2134
66,302,4.2099
66,1612,4.1769
66,79,4.1555
66,520,4.0861
66,50,4.0652
66,129,4.048
67,169,5.3607
67,114,4.9898
67,1169,4.9837
67,1159,4.9549
67,963,4.9522
67,50,4.9423
67,1449,4.9362
67,64,4.803
67,12,4.7972
67,189,4.7963
68,902,5.1013
68,919,4.7753
68,19,4.7647
68,1405,4.717
68,1167,4.6982
68,269,4.6801
68,463,4.5513
68,1084,4.5436
68,884,4.5146
68,1398,4.4762
69,1144,4.7189
69,963,4.652
69,180,4.6408
69,56,4.6403
69,408,4.6268
69,178,4.6263
69,1143,4.6016
69,483,4.5873
69,187,4.5815
69,1367,4.5785
70,318,4.4862
70,64,4.3903
70,50,4.2887
70,174,4.2559
70,169,4.2408
70,408,4.2386
70,357,4.2308
70,515,4.2131
70,1449,4.205
70,313,4.2018
71,1449,4.814
71,165,4.7189
71,483,4.682
71,487,4.6252
71,657,4.6177
71,638,4.598
71,114,4.5881
71,463,4.5834
71,12,4.5764
71,694,4.5741
72,64,4.6762
72,318,4.5867
72,482,4.538
72,1242,4.5358
72,272,4.5313
72,197,4.4898
72,357,4.455
72,603,4.4319
72,127,4.4228
72,900,4.413
73,320,4.6977
73,179,4.6364
73,59,4.5509
73,1449,4.5409
73,718,4.5336
73,919,4.5317
73,127,4.5201
73,1405,4.5148
73,1589,4.5133
73,474,4.5103
74,272,4.703
74,318,4.4977
74,315,4.4013
74,1449,4.3997
74,1169,4.3038
74,64,4.2981
74,313,4.2886
74,515,4.2563
74,357,4.2442
74,316,4.2367
75,1589,5.3358
75,512,5.3003
75,1129,5.0124
75,189,4.854
75,1099,4.8385
75,1405,4.8195
75,1159,4.7666
75,10,4.7619
75,169,4.7529
75,603,4.75
76,1449,4.5155
76,187,4.4558
76,127,4.4253
76,474,4.4102
76,511,4.3952
76,483,4.3729
76,654,4.3602
76,119,4.346
76,56,4.3424
76,1512,4.331
77,169,4.622
77,1589,4.5697
77,1056,4.487
77,12,4.4544
77,168,4.4355
77,173,4.3597
77,525,4.3353
77,408,4.318
77,1142,4.2767
77,114,4.2701
78,57,4.9396
78,485,4.8746
78,478,4.8524
78,705,4.8515
78,132,4.8174
78,1450,4.7879
78,1142,4.7805
78,1398,4.7717
78,1129,4.7269
78,1137,4.7147
79,1398,5.0195
79,1642,5.0096
79,1449,4.8898
79,474,4.8655
79,921,4.8626
79,483,4.8368
79,904,4.7929
79,1194,4.7914
79,488,4.7731
79,1137,4.773
80,318,4.654
80,1176,4.556
80,64,4.5229
80,1642,4.5048
80,1233,4.473
80,272,4.467
80,127,4.4532
80,357,4.4452
80,1449,4.4289
80,56,4.355
81,64,4.3986
81,1589,4.1366
81,169,4.1264
81,272,4.1226
81,127,4.1131
81,12,4.0887
81,199,4.0652
81,313,4.0349
81,1449,4.0325
81,357,4.0184
82,169,4.0687
82,64,4.0614
82,165,4.0591
82,483,4.0506
82,199,4.0302
82,166,4.0226
82,318,4.0224
82,408,4.0201
82,173,4.019
82,484,4.0188
83,22,4.5315
83,79,4.5187
83,496,4.4863
83,313,4.4723
83,1189,4.4606
83,174,4.4238
83,64,4.4029
83,1450,4.3827
83,1063,4.3656
83,1138,4.3521
84,613,4.8554
84,1449,4.8494
84,318,4.7104
84,251,4.6653
84,1122,4.6575
84,1398,4.6514
84,64,4.6082
84,1642,4.6047
84,1167,4.5959
84,963,4.5755
85,408,4.2732
85,1398,4.2724
85,114,4.2377
85,483,4.2218
85,134,4.2149
85,603,4.187
85,694,4.1781
85,474,4.176
85,1449,4.1572
85,119,4.1509
86,57,5.085
86,1131,4.9256
86,1062,4.9172
86,1175,4.7714
86,889,4.7686
86,1639,4.7065
86,1642,4.6148
86,270,4.5742
86,1176,4.5103
86,1368,4.4867
87,174,4.8865
87,1169,4.8273
87,1189,4.7716
87,50,4.7301
87,172,4.6805
87,64,4.6741
87,1064,4.6457
87,169,4.6273
87,1138,4.622
87,96,4.6076
88,904,4.979
88,1191,4.8507
88,1512,4.8324
88,524,4.6197
88,1194,4.613
88,813,4.5584
88,979,4.5466
88,1394,4.4977
88,1166,4.4782
88,133,4.4483
89,114,5.2189
89,408,5.0909
89,169,5.0775
89,1449,5.0648
89,246,5.0362
89,589,4.9728
89,507,4.9474
89,12,4.9348
89,64,4.9311
89,1642,4.907
90,603,5.1047
90,1449,5.0794
90,483,5.0403
90,1512,5.0332
90,479,5.0055
90,1398,4.969
90,318,4.9633
90,694,4.9296
90,119,4.9187
90,12,4.9185
91,22,4.7226
91,318,4.7204
91,313,4.6436
91,50,4.6132
91,181,4.6074
91,174,4.5843
91,172,4.5826
91,64,4.5602
91,1167,4.4948
91,272,4.4505
92,1589,4.5934
92,1449,4.4966
92,64,4.4599
92,169,4.4111
92,56,4.3766
92,408,4.3521
92,12,4.3485
92,613,4.347
92,1398,4.3357
92,127,4.3345
93,113,4.2893
93,86,4.2601
93,465,4.2389
93,538,4.2359
93,1120,4.2308
93,1099,4.2231
93,1466,4.1538
93,958,4.0558
93,1313,4.0459
93,904,4.0196
94,1449,5.0544
94,1398,4.8958
94,1642,4.8658
94,474,4.8592
94,483,4.8285
94,114,4.8215
94,603,4.788
94,1589,4.7529
94,119,4.7516
94,127,4.7418
95,408,4.5732
95,318,4.5358
95,173,4.4523
95,114,4.4326
95,64,4.3877
95,169,4.3855
95,1450,4.3719
95,969,4.3495
95,515,4.3107
95,657,4.3028
96,1449,5.1537
96,302,5.0355
96,1642,5.0317
96,114,5.0215
96,318,4.9816
96,511,4.9661
96,305,4.9236
96,100,4.9051
96,408,4.9013
96,344,4.8379
97,56,4.9122
97,100,4.8835
97,915,4.8639
97,963,4.8282
97,115,4.7636
97,954,4.7591
97,150,4.7428
97,1524,4.7388
97,1367,4.723
97,624,4.7185
98,1099,4.9946
98,14,4.8897
98,1512,4.8313
98,276,4.7837
98,537,4.7346
98,197,4.7089
98,469,4.6713
98,753,4.667
98,303,4.6092
98,887,4.5746
99,64,4.7468
99,11,4.5984
99,313,4.5953
99,272,4.5666
99,56,4.5064
99,318,4.4964
99,1467,4.493
99,127,4.4429
99,180,4.4266
99,50,4.4183
100,22,4.1897
100,318,4.0622
100,272,4.0576
100,313,4.0563
100,1218,4.0411
100,750,4.0315
100,169,4.0098
100,205,3.9662
100,181,3.9618
100,174,3.9465
101,313,3.9631
101,22,3.9382
101,318,3.7654
101,64,3.7485
101,143,3.7416
101,174,3.7195
101,79,3.7174
101,96,3.7121
101,1169,3.7015
101,1063,3.688
102,1449,3.428
102,1122,3.3739
102,408,3.3636
102,50,3.3596
102,1589,3.3517
102,169,3.3247
102,119,3.3214
102,1169,3.2803
102,1398,3.2683
102,64,3.2673
103,1589,4.6447
103,246,4.4771
103,1449,4.4161
103,963,4.4125
103,64,4.3997
103,56,4.3991
103,169,4.3983
103,50,4.3916
103,114,4.371
103,1642,4.3474
104,713,3.8279
104,1467,3.8264
104,750,3.8184
104,302,3.7714
104,357,3.7631
104,1449,3.7535
104,114,3.7343
104,318,3.7169
104,272,3.7058
104,1664,3.6953
105,1589,4.575
105,753,4.4297
105,1639,4.3793
105,302,4.3313
105,1022,4.2232
105,12,4.2073
105,42,4.1935
105,921,4.1898
105,313,4.1879
105,603,4.1645
106,318,4.5539
106,64,4.4405
106,496,4.2879
106,1398,4.2762
106,272,4.2548
106,313,4.2442
106,483,4.2366
106,603,4.2261
106,1039,4.217
106,515,4.2128
107,19,4.8
107,1639,4.6024
107,262,4.5828
107,960,4.5354
107,906,4.5257
107,1642,4.5201
107,1084,4.4434
107,1137,4.417
107,1398,4.4067
107,913,4.4032
108,114,4.9208
108,463,4.7914
108,1159,4.7909
108,169,4.7318
108,1449,4.6775
108,189,4.6543
108,165,4.6391
108,1558,4.5988
108,207,4.5438
108,168,4.5424
109,96,4.5986
109,174,4.4304
109,1450,4.4301
109,1269,4.3931
109,195,4.3909
109,22,4.3877
109,144,4.3788
109,79,4.3323
109,963,4.3305
109,1152,4.3231
110,64,3.9802
110,318,3.9729
110,496,3.9196
110,392,3.8894
110,272,3.8688
110,1169,3.8368
110,22,3.8338
110,313,3.8141
110,143,3.8056
110,79,3.7792
111,1159,4.4627
111,258,4.3023
111,1589,4.2948
111,64,4.2869
111,169,4.2807
111,318,4.2678
111,1167,4.2489
111,12,4.2075
111,463,4.1862
111,516,4.1527
112,318,4.9647
112,316,4.852
112,272,4.7675
112,64,4.7519
112,22,4.7345
112,313,4.6027
112,133,4.5452
112,1242,4.5403
112,127,4.5054
112,191,4.4899
113,1589,4.7553
113,963,4.6668
113,900,4.6555
113,915,4.5538
113,64,4.4748
113,246,4.4349
113,189,4.4036
113,326,4.403
113,282,4.3435
113,182,4.336
114,1104,4.5976
114,1449,4.5683
114,647,4.41
114,89,4.3718
114,302,4.3225
114,183,4.2924
114,119,4.2912
114,408,4.2785
114,1512,4.2428
114,262,4.2426
115,641,5.2462
115,169,5.1099
115,32,5.0407
115,854,5.0151
115,1056,5.0136
115,1367,4.991
115,114,4.9807
115,1449,4.9461
115,209,4.9325
115,1143,4.8967
116,127,4.185
116,64,4.0704
116,56,4.0271
116,180,3.9392
116,187,3.9251
116,408,3.9192
116,963,3.9049
116,589,3.8677
116,318,3.8588
116,521,3.8277
117,114,5.0033
117,408,5.0012
117,64,4.9175
117,246,4.904
117,50,4.8575
117,169,4.8513
117,1589,4.8342
117,187,4.8281
117,963,4.8233
117,1449,4.816
118,169,5.5343
118,1589,5.5001
118,1268,5.463
118,12,5.4595
118,1467,5.3985
118,114,5.3808
118,1449,5.3793
118,50,5.3602
118,56,5.356
118,408,5.3117
119,408,5.0869
119,1192,5.0838
119,114,5.0602
119,223,4.9492
119,1642,4.9441
119,113,4.9427
119,1466,4.9228
119,64,4.9079
119,1398,4.8897
119,318,4.8688
120,318,4.6886
120,1589,4.6868
120,1449,4.6682
120,114,4.6368
120,64,4.6186
120,1642,4.6048
120,1159,4.5998
120,515,4.5847
120,1398,4.5765
120,286,4.5624
121,1512,4.8774
121,1449,4.6783
121,463,4.6405
121,262,4.6133
121,119,4.6097
121,1167,4.6008
121,318,4.5942
121,357,4.561
121,242,4.5344
121,12,4.5305
122,1512,5.3727
122,1449,5.0598
122,14,5.0339
122,119,4.929
122,251,4.897
122,212,4.8831
122,1194,4.8361
122,487,4.8152
122,276,4.8116
122,537,4.808
123,1449,4.6784
123,320,4.6514
123,474,4.5861
123,1398,4.5157
123,654,4.5027
123,1642,4.4791
123,262,4.4649
123,488,4.4606
123,131,4.4511
123,14,4.4356
124,1368,4.6442
124,634,4.3481
124,305,4.2769
124,1296,4.1233
124,1651,4.0674
124,1650,4.0674
124,1645,4.0674
124,1636,4.0674
124,1631,4.0674
124,302,4.0509
125,174,4.983
125,50,4.868
125,172,4.8553
125,181,4.7566
125,496,4.7082
125,210,4.5823
125,22,4.5745
125,64,4.5028
125,318,4.4964
125,1138,4.4853
126,1175,4.7441
126,1169,4.6569
126,1121,4.5524
126,169,4.482
126,718,4.4676
126,8,4.4607
126,266,4.4582
126,1063,4.4438
126,741,4.4432
126,500,4.3527
127,1157,4.9734
127,121,4.9673
127,230,4.7821
127,227,4.7417
127,222,4.7306
127,323,4.7253
127,271,4.7144
127,748,4.6559
127,62,4.6154
127,228,4.5666
128,483,4.5808
128,1398,4.5435
128,515,4.5392
128,838,4.5349
128,318,4.5114
128,64,4.4967
128,603,4.4836
128,1064,4.4803
128,272,4.4636
128,487,4.454
129,906,4.0975
129,286,3.9719
129,1099,3.901
129,1233,3.8276
129,86,3.8099
129,1062,3.8058
129,318,3.7936
129,1512,3.7773
129,242,3.7528
129,170,3.7451
130,64,5.2036
130,318,5.1208
130,1169,5.1173
130,50,5.0731
130,520,5.036
130,174,4.9998
130,963,4.9734
130,483,4.9401
130,185,4.9394
130,98,4.9215
131,1449,4.879
131,514,4.8194
131,114,4.7888
131,936,4.785
131,212,4.7823
131,536,4.7497
131,251,4.726
131,357,4.7098
131,1398,4.7054
131,119,4.672
132,922,4.3263
132,1405,4.19
132,100,4.1686
132,56,4.1573
132,60,4.1404
132,654,4.1167
132,428,4.0981
132,512,4.0935
132,856,4.0731
132,127,4.0537
133,1169,4.4135
133,516,4.2054
133,1449,4.1887
133,169,4.1871
133,603,4.1808
133,50,4.1739
133,1398,4.1434
133,119,4.1239
133,1122,4.1054
133,483,4.1021
134,1063,4.7884
134,169,4.7095
134,22,4.6247
134,174,4.6053
134,313,4.4876
134,210,4.4288
134,50,4.4009
134,121,4.3872
134,1138,4.3866
134,181,4.3638
135,1589,4.3861
135,1449,4.3682
135,1642,4.3287
135,169,4.2839
135,64,4.2723
135,483,4.2279
135,1398,4.2118
135,127,4.2116
135,56,4.1981
135,318,4.1828
136,1405,5.1603
136,1398,5.0153
136,1449,5.0153
136,1642,4.9681
136,1466,4.9235
136,483,4.9198
136,114,4.8864
136,474,4.8748
136,1558,4.873
136,603,4.8581
137,1169,5.3989
137,96,5.255
137,228,5.2509
137,1019,5.1989
137,1268,5.1251
137,50,5.1094
137,169,5.0833
137,195,5.0639
137,172,4.9943
137,174,4.9443
138,408,4.998
138,1449,4.99
138,169,4.9308
138,114,4.8843
138,1589,4.8643
138,64,4.7978
138,50,4.7519
138,483,4.7472
138,1122,4.7439
138,12,4.7391
139,1642,4.7401
139,1233,4.7277
139,285,4.6894
139,1589,4.6621
139,100,4.6462
139,856,4.6312
139,1449,4.622
139,1405,4.6108
139,180,4.5927
139,156,4.5832
140,1642,4.7543
140,1398,4.6523
140,887,4.6465
140,613,4.5897
140,483,4.583
140,923,4.5742
140,512,4.5556
140,318,4.545
140,522,4.5436
140,958,4.5073
141,394,4.7777
141,326,4.6486
141,1159,4.634
141,1167,4.6262
141,282,4.5662
141,1589,4.5191
141,313,4.4938
141,1157,4.4677
141,392,4.4268
141,300,4.4069
142,50,4.7501
142,134,4.7399
142,483,4.6568
142,1449,4.6474
142,1142,4.6066
142,48,4.5656
142,507,4.546
142,641,4.5356
142,114,4.5301
142,408,4.5292
143,670,4.8337
143,1169,4.7411
143,741,4.7128
143,313,4.6498
143,1368,4.6034
143,915,4.5663
143,559,4.5461
143,347,4.4866
143,64,4.427
143,127,4.4243
144,64,4.616
144,318,4.5481
144,483,4.5065
144,50,4.4443
144,963,4.3951
144,496,4.3704
144,1398,4.3627
144,427,4.3626
144,1450,4.3593
144,498,4.3565
145,96,5.1381
145,172,4.845
145,174,4.8191
145,50,4.7943
145,12,4.719
145,195,4.6331
145,205,4.5873
145,114,4.5764
145,187,4.5644
145,1589,4.5642
146,1293,4.833
146,1192,4.8162
146,718,4.5443
146,1175,4.5439
146,1160,4.5205
146,315,4.5054
146,320,4.4952
146,1174,4.4871
146,515,4.4784
146,1022,4.4308
147,318,5.0407
147,1642,4.9423
147,286,4.9394
147,923,4.9379
147,543,4.9379
147,1398,4.888
147,898,4.8676
147,694,4.8495
147,1449,4.8057
147,162,4.8031
148,1069,5.2972
148,1449,4.8979
148,745,4.8906
148,408,4.8622
148,114,4.8514
148,169,4.8073
148,968,4.8062
148,262,4.7399
148,1149,4.7233
148,954,4.6566
149,753,4.3041
149,357,4.2988
149,318,4.2206
149,1642,4.2082
149,1449,4.1954
149,515,4.1571
149,100,4.1535
149,1174,4.1301
149,750,4.0926
149,272,4.0726
150,854,5.0817
150,475,4.804
150,42,4.7464
150,1467,4.7037
150,50,4.5981
150,1589,4.5582
150,64,4.5568
150,1268,4.5535
150,56,4.5312
150,11,4.5086
151,1449,5.1099
151,408,5.0091
151,694,5.0085
151,657,4.9753
151,1398,4.9052
151,483,4.9022
151,242,4.8689
151,1194,4.8394
151,114,4.8305
151,515,4.8271
152,496,5.3926
152,318,5.3627
152,64,5.281
152,22,5.1882
152,69,5.1811
152,113,5.0733
152,1064,5.0513
152,174,5.0478
152,1450,5.0465
152,1189,5.0302
153,100,4.3025
153,753,4.2655
